molecule_chembl_id,canonical_smiles,standard_value,0,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL208763,O=C(CSc1nccc(-c2cc(-c3ccccc3)no2)n1)Nc1ccc(Cl)cc1,15000.0,inactive,422.89700000000005,5.182800000000002,1.0,6.0
CHEMBL209227,Cc1nc(-c2nc(-c3ccnc(SCC(=O)Nc4ccc(Cl)cc4)n3)cs2)cs1,70794578438413.73,inactive,460.00900000000007,5.416220000000003,1.0,8.0
CHEMBL209227,Cc1nc(-c2nc(-c3ccnc(SCC(=O)Nc4ccc(Cl)cc4)n3)cs2)cs1,14000.0,inactive,460.00900000000007,5.416220000000003,1.0,8.0
CHEMBL210092,CSc1sc(-c2nc(C)cs2)c(C)c1-c1ccnc(SCC(=O)Nc2ccc(Cl)cc2)n1,89125093813374.4,inactive,519.1420000000002,7.051540000000005,1.0,8.0
CHEMBL210092,CSc1sc(-c2nc(C)cs2)c(C)c1-c1ccnc(SCC(=O)Nc2ccc(Cl)cc2)n1,11000.0,inactive,519.1420000000002,7.051540000000005,1.0,8.0
CHEMBL377150,Cn1nc(-c2ccc(-c3ccnc(SCC(=O)Nc4ccc(Cl)cc4)n3)s2)cc1C(F)(F)F,100000000000000.0,inactive,509.966,6.008600000000003,1.0,7.0
CHEMBL377150,Cn1nc(-c2ccc(-c3ccnc(SCC(=O)Nc4ccc(Cl)cc4)n3)s2)cc1C(F)(F)F,10000.0,inactive,509.966,6.008600000000003,1.0,7.0
CHEMBL212454,O=C(Oc1ccc(S(=O)(=O)c2ccc(OC(=O)C(Cl)=C(Cl)Cl)cc2)cc1)C(Cl)=C(Cl)Cl,900.0,active,565.041,6.101200000000001,0.0,6.0
CHEMBL213581,Nc1ncc(S(=O)(=O)c2ccc(Cl)cc2)c(N)n1,6000.0,intermediate,284.728,1.1272000000000004,2.0,6.0
CHEMBL380403,O=[N+]([O-])c1cc(C(F)(F)F)ccc1S(=O)(=O)c1ccc(Cl)cc1,12000.0,inactive,365.716,4.099800000000001,0.0,4.0
CHEMBL212504,Cc1nc(S(=O)(=O)c2ccccc2)c(C#N)c(C)c1[N+](=O)[O-],13000.0,inactive,317.3260000000001,2.3111200000000007,0.0,6.0
CHEMBL211969,Cc1ccc(S(=O)(=O)c2nc(C)c([N+](=O)[O-])c(C)c2C#N)cc1,13000.0,inactive,331.35300000000007,2.6195400000000006,0.0,6.0
CHEMBL384739,O=[N+]([O-])c1ccc(S(=O)(=O)c2ccc(Cl)cc2)[n+]([O-])c1,15000.0,inactive,314.706,1.7143999999999997,0.0,5.0
CHEMBL215732,CCOC(=O)/C(C#N)=C/Nc1ccc(S(=O)(=O)c2ccc(/N=C/C(C#N)=C(\O)OCC)cc2)cc1,16000.0,inactive,494.5290000000002,3.933860000000003,2.0,10.0
CHEMBL212240,O=C(O)c1ccc(S(=O)(=O)c2cc(Br)c(O)c(Br)c2)cc1,16000.0,inactive,436.07700000000006,3.448200000000001,2.0,4.0
CHEMBL377253,CC(=O)c1ccccc1S(=O)(=O)c1ccccc1C(=O)O,16000.0,inactive,304.32300000000004,2.4202000000000004,1.0,4.0
CHEMBL215397,O=[N+]([O-])c1ccc(S(=O)(=O)c2ccc([N+](=O)[O-])cc2)cc1,25000.0,inactive,308.271,2.3358,0.0,6.0
CHEMBL378342,CCOC(=O)C(=CNc1ccc(S(=O)(=O)c2ccc(/N=C/C(C(=O)OCC)=C(\O)OCC)cc2)cc1)C(=O)OCC,32000.0,inactive,588.6350000000002,4.012900000000003,2.0,12.0
CHEMBL379642,O=C(Sc1nnc(C(F)(F)F)[nH]1)c1ccc(C#Cc2ccccc2)o1,3000.0,intermediate,363.3200000000001,3.748800000000002,1.0,5.0
CHEMBL427404,Cc1noc(NC(=O)c2ccc(-c3cc(C(F)(F)F)nn3C)s2)c1[N+](=O)[O-],5000.0,intermediate,401.3260000000001,3.6243200000000018,1.0,8.0
CHEMBL212190,Cc1oc(C(C)(C)C)cc1-c1cc(NS(=O)(=O)c2cccs2)[nH]n1,10000.0,inactive,365.48,4.137920000000002,2.0,5.0
CHEMBL378700,CSc1[nH]nc(NC(=O)c2cccs2)c1S(=O)(=O)c1ccccc1,15000.0,inactive,379.4880000000001,3.278200000000001,2.0,6.0
CHEMBL212019,CC1(C)CC(=O)c2c(NCc3ccco3)sc(C#N)c2C1,16000.0,inactive,300.3830000000001,3.979980000000003,1.0,5.0
CHEMBL212399,CSc1nn(-c2c([N+](=O)[O-])c(C)nn2C)c(-c2cccs2)c1C#N,18000.0,inactive,360.42400000000004,3.1445000000000016,0.0,9.0
CHEMBL215733,O=S(=O)(Cc1[nH]c(-c2ccc(Cl)s2)c[s+]1)c1cccs1.[Br-],18000.0,inactive,442.83400000000006,1.7786,1.0,4.0
CHEMBL375130,Cc1nn(C)c(NCc2ccc(-c3cccs3)s2)c1[N+](=O)[O-],20000.0,inactive,334.4260000000001,4.038820000000003,1.0,7.0
CHEMBL214372,O=C(Cc1nccs1)c1nccs1,40000.0,inactive,210.28300000000002,2.025,0.0,5.0
CHEMBL212218,Cc1cc(S(=O)(=O)c2c([N+](=O)[O-])cc(C(F)(F)F)cc2[N+](=O)[O-])c(Cl)cc1Cl,300.0,active,459.1850000000002,4.969820000000001,0.0,6.0
CHEMBL222840,O=C(Oc1cncc(Cl)c1)c1ccco1,60.0,active,223.615,2.5472,0.0,4.0
CHEMBL222769,O=C(Oc1cncc(Cl)c1)c1ccc(-c2ccc(Cl)cc2)o1,63.0,active,334.158,4.867600000000002,0.0,4.0
CHEMBL222735,COc1cccc(C(=O)Oc2cncc(Cl)c2)c1,340.0,active,263.68,2.9628000000000014,0.0,4.0
CHEMBL222628,O=C(Oc1cncc(Cl)c1)c1cscn1,270.0,active,240.67100000000002,2.4107000000000003,0.0,5.0
CHEMBL222893,O=C(Oc1cncc(Cl)c1)c1cc2ccccc2s1,95.0,active,289.74300000000005,4.168900000000002,0.0,4.0
CHEMBL225515,O=C(Oc1cncc(Cl)c1)c1cc2ccccc2[nH]1,65.0,active,272.69100000000003,3.435500000000001,1.0,3.0
CHEMBL222234,O=C(Oc1cncc(Br)c1)c1ccco1,50.0,active,268.066,2.6563000000000008,0.0,4.0
